Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Upkar,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.5,,,
Jewel Thief,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.7,,,
An Evening In Paris,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Shagird,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Farz,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Hamraaz,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Milan,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Ram Aur Shyam,01-Jan-67,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Do Kaliyan,01-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Aankhen,01-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Kanyadaan,01-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Neel Kamal,01-Jan-68,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Jeene Ki Raah,01-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Do Raaste,01-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Ek Phool Do Mali,01-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,0,,,
Prince,01-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Aradhana,01-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Intaquam,01-Jan-69,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Jeevan Mrityu,21-Apr-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
The Train,10-Apr-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Khilona,08-Apr-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Safar,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Pehchan,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Geet,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Humjoli,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Bhai Bhai,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Johny Mera Naam,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Tum Haseen Main Jawan,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Sharafat,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Kab Kyon Aur Kahan,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Gopi,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Kaun Ho Tum,01-Jan-70,0 Cr N.A,0 Cr N.A,0.005 Cr,2,,,
Ganwaar,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Sawan Bhadon,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Sachaa Jhutha,01-Jan-70,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Bharat Ka Sanvidhan,01-Jan-70,0 Cr N.A,0 Cr N.A,0.001 Cr,6,,,
Andaz,01-Aug-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Maryada,16-Jul-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Mera Gaon Mera Desh,14-Jun-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Rakhwala,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Purab Aur Pashcim,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Naya Zamana,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Mela,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Guddi,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Anand,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Sharmilee,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Aan Milo Sajna,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Haathi Mere Saathi,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Kal Aaj Aur Kal,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,9,,,
Kati Patang,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Main Sundar Hoon,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Ek Nari Ek Brahmachari,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Mehboob Ki Mehndi,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Mere Apne,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Caravan,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,7,,,
Paras,01-Jan-71,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Victoria No. 203,08-Dec-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Raja Jani,03-Nov-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Do Chor,24-Mar-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,9,,,
Bombay To Goa,03-Mar-72,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
